"Date","Price","Open","High","Low","Vol.","Change %"
"07/31/2022","12,199.08","12,225.31","12,268.51","12,186.20","177.79M","0.36%"
"07/28/2022","12,155.02","12,122.98","12,195.68","12,111.81","316.77M","0.85%"
"07/27/2022","12,052.18","12,004.92","12,097.62","11,984.31","138.65M","0.74%"
"07/26/2022","11,964.21","11,912.85","11,977.68","11,886.08","164.32M","0.76%"
"07/25/2022","11,874.22","11,961.79","11,962.15","11,858.52","163.76M","-0.84%"
"07/24/2022","11,975.14","11,982.09","12,052.90","11,955.54","152.86M","-0.11%"
"07/21/2022","11,987.97","11,930.99","11,987.97","11,834.92","166.68M","1.04%"
"07/20/2022","11,864.34","11,810.10","11,995.29","11,780.48","217.39M","0.88%"
"07/19/2022","11,761.35","11,582.51","11,761.41","11,530.60","190.99M","1.79%"
"07/18/2022","11,555.08","11,297.43","11,555.08","11,296.62","163.24M","2.33%"
"07/17/2022","11,292.41","11,308.20","11,365.45","11,239.13","107.28M","1.16%"
"07/14/2022","11,163.02","11,280.09","11,316.89","11,096.74","121.22M","-1.12%"
"07/13/2022","11,289.75","11,418.81","11,531.08","11,289.75","135.37M","-1.11%"
"07/06/2022","11,416.54","11,261.91","11,420.19","11,223.69","144.20M","0.63%"
"07/05/2022","11,344.57","11,361.22","11,413.45","11,311.12","143.36M","-0.12%"
"07/04/2022","11,358.40","11,466.33","11,480.42","11,294.91","136.34M","-0.93%"
"07/03/2022","11,464.98","11,590.31","11,609.93","11,451.60","124.21M","-0.51%"
"06/30/2022","11,523.25","11,740.17","11,756.30","11,523.25","177.87M","-1.74%"
"06/29/2022","11,727.19","11,654.86","11,783.99","11,618.80","167.17M","0.48%"
"06/28/2022","11,671.15","11,425.50","11,671.15","11,380.67","149.62M","2.13%"
"06/27/2022","11,427.26","11,573.04","11,588.53","11,406.07","189.52M","-0.74%"
"06/26/2022","11,513.01","11,515.18","11,566.69","11,480.31","155.31M","1.79%"
"06/23/2022","11,310.67","11,348.21","11,379.04","11,229.55","143.59M","-0.08%"
"06/22/2022","11,319.88","11,641.56","11,641.56","11,319.88","219.79M","-2.91%"
"06/21/2022","11,659.64","11,441.71","11,683.32","11,439.61","173.78M","2.62%"
"06/20/2022","11,361.53","11,298.97","11,456.11","11,217.91","155.67M","0.55%"
"06/19/2022","11,299.18","11,668.14","11,676.39","11,299.18","178.91M","-4.44%"
"06/16/2022","11,824.42","12,029.14","12,116.94","11,809.80","219.61M","-1.29%"
"06/15/2022","11,978.51","12,036.02","12,131.74","11,978.23","184.15M","-0.35%"
"06/14/2022","12,020.68","12,038.42","12,114.78","11,708.78","231.21M","-0.27%"
"06/13/2022","12,053.44","12,278.52","12,286.19","11,983.30","209.74M","-2.18%"
"06/12/2022","12,322.35","12,530.66","12,530.66","12,322.35","173.57M","-2.23%"
"06/09/2022","12,603.89","12,597.60","12,612.74","12,497.45","151.19M","0.06%"
"06/08/2022","12,596.30","12,690.72","12,748.90","12,584.27","141.34M","-0.52%"
"06/07/2022","12,662.75","12,832.04","12,838.83","12,651.31","152.06M","-1.24%"
"06/06/2022","12,821.96","12,679.49","12,851.70","12,677.87","180.13M","1.31%"
"06/05/2022","12,656.05","12,610.21","12,673.84","12,557.52","138.08M","0.40%"
"06/02/2022","12,605.01","12,766.20","12,768.96","12,605.01","178.89M","-1.26%"
"06/01/2022","12,766.47","12,911.45","12,912.92","12,766.47","182.27M","-1.20%"
"05/31/2022","12,921.74","12,967.78","13,034.50","12,806.05","386.64M","0.11%"
"05/30/2022","12,907.17","12,711.77","12,922.64","12,710.41","226.70M","1.72%"
"05/29/2022","12,689.01","12,633.85","12,717.13","12,633.84","151.47M","1.27%"
"05/26/2022","12,530.34","12,655.70","12,730.14","12,472.88","167.92M","-0.47%"
"05/25/2022","12,588.89","12,333.28","12,631.44","12,325.13","184.34M","2.34%"
"05/24/2022","12,300.86","12,251.21","12,355.23","12,199.50","157.93M","0.53%"
"05/23/2022","12,235.91","12,386.10","12,456.70","12,178.51","178.94M","-0.80%"
"05/22/2022","12,334.94","12,536.22","12,539.70","12,243.78","784.68M","-0.75%"
"05/19/2022","12,427.96","12,484.90","12,545.06","12,349.28","191.15M","-2.25%"
"05/18/2022","12,713.38","12,750.69","12,919.26","12,700.72","190.60M","0.19%"
"05/17/2022","12,689.87","12,937.48","12,953.89","12,575.65","204.80M","-1.74%"
"05/16/2022","12,914.89","13,229.41","13,286.34","12,914.46","174.71M","-1.78%"
"05/15/2022","13,149.29","13,017.07","13,211.58","12,895.88","141.54M","2.45%"
"05/12/2022","12,835.30","13,391.49","13,393.00","12,835.30","209.81M","-4.06%"
"05/11/2022","13,379.08","13,493.01","13,595.40","13,377.69","164.50M","-0.96%"
"05/10/2022","13,509.31","13,760.97","13,769.05","13,462.51","184.89M","-2.21%"
"05/09/2022","13,814.85","13,853.06","13,949.13","13,812.63","223.50M","-0.04%"
"05/08/2022","13,820.35","13,790.83","13,832.79","13,747.77","140.10M","0.63%"
"04/28/2022","13,733.87","13,708.73","13,765.70","13,652.95","151.72M","0.66%"
"04/27/2022","13,643.91","13,533.74","13,675.74","13,515.75","149.65M","1.04%"
"04/26/2022","13,503.49","13,585.58","13,635.76","13,417.10","158.46M","-0.29%"
"04/25/2022","13,543.25","13,451.11","13,543.25","13,371.16","181.60M","0.60%"
"04/24/2022","13,463.09","13,491.86","13,504.82","13,388.65","124.07M","-0.53%"
"04/21/2022","13,534.40","13,680.54","13,701.93","13,534.40","181.37M","-0.98%"
"04/20/2022","13,668.54","13,552.67","13,672.81","13,483.54","182.21M","1.21%"
"04/19/2022","13,505.57","13,752.12","13,783.56","13,505.57","180.24M","-1.66%"
"04/18/2022","13,733.14","13,670.20","13,742.25","13,658.11","158.34M","0.37%"
"04/17/2022","13,682.39","13,644.85","13,707.66","13,584.07","174.21M","0.45%"
"04/14/2022","13,621.08","13,540.10","13,621.08","13,436.45","201.09M","0.60%"
"04/13/2022","13,540.27","13,648.97","13,680.02","13,509.50","240.23M","-0.78%"
"04/12/2022","13,646.12","13,500.72","13,646.12","13,489.47","241.92M","1.21%"
"04/11/2022","13,483.23","13,412.30","13,511.52","13,399.67","217.59M","0.66%"
"04/10/2022","13,395.46","13,350.90","13,422.59","13,342.83","169.83M","0.61%"
"04/07/2022","13,313.98","13,250.63","13,328.23","13,231.17","183.62M","0.44%"
"04/06/2022","13,255.96","13,198.42","13,271.95","13,167.81","285.12M","0.37%"
"04/05/2022","13,206.88","13,189.72","13,226.12","13,159.79","214.40M","0.32%"
"04/04/2022","13,165.34","13,087.63","13,165.34","13,057.01","183.40M","0.63%"
"04/03/2022","13,082.76","13,132.42","13,147.97","13,063.52","116.98M","-0.06%"
"03/31/2022","13,090.40","13,029.14","13,090.40","12,981.91","209.38M","0.40%"
"03/30/2022","13,038.22","13,096.78","13,101.06","12,992.27","216.18M","-0.48%"
"03/29/2022","13,101.36","13,065.16","13,114.89","13,039.64","235.20M","0.29%"
"03/28/2022","13,064.11","12,999.81","13,064.11","12,972.88","207.25M","0.50%"
"03/27/2022","12,999.73","12,916.10","13,000.10","12,901.30","198.57M","0.40%"
"03/24/2022","12,948.37","12,957.36","12,968.15","12,914.05","171.14M","0.03%"
"03/23/2022","12,944.16","12,875.40","12,944.16","12,862.60","158.20M","0.49%"
"03/22/2022","12,881.45","12,851.03","12,881.45","12,791.69","170.74M","0.39%"
"03/21/2022","12,831.69","12,905.55","12,959.96","12,828.81","211.83M","-0.34%"
"03/20/2022","12,875.80","12,836.39","12,919.40","12,808.40","188.05M","0.83%"
"03/17/2022","12,769.21","12,719.76","12,831.80","12,674.05","345.68M","0.89%"
"03/16/2022","12,656.23","12,459.80","12,656.23","12,447.71","264.40M","2.00%"
"03/15/2022","12,407.60","12,458.87","12,484.80","12,390.65","156.49M","-0.68%"
"03/14/2022","12,492.14","12,626.18","12,637.09","12,479.24","194.10M","-0.90%"
"03/13/2022","12,605.40","12,725.43","12,771.51","12,605.18","209.29M","-0.62%"
"03/10/2022","12,684.16","12,734.64","12,791.74","12,641.33","203.09M","-0.43%"
"03/09/2022","12,738.59","12,864.11","12,928.00","12,738.59","229.46M","-0.88%"
"03/08/2022","12,851.22","12,795.88","12,879.39","12,718.20","262.21M","0.34%"
"03/07/2022","12,808.03","12,858.59","12,881.92","12,684.33","285.82M","0.03%"
"03/06/2022","12,804.22","12,841.83","12,862.68","12,798.76","276.19M","0.38%"
"03/03/2022","12,756.31","12,724.96","12,781.46","12,694.91","303.81M","0.80%"
"03/02/2022","12,654.65","12,700.03","12,750.16","12,607.46","277.67M","-0.16%"
"03/01/2022","12,674.34","12,594.70","12,748.00","12,583.64","266.79M","0.67%"
"02/28/2022","12,590.26","12,415.16","12,590.26","12,344.40","264.76M","1.39%"
"02/27/2022","12,417.56","12,497.38","12,570.31","12,400.58","235.88M","0.98%"
"02/24/2022","12,297.62","12,269.27","12,368.38","12,190.37","384.61M","-1.84%"
"02/23/2022","12,527.63","12,521.36","12,591.46","12,470.81","254.69M","-0.27%"
"02/21/2022","12,561.60","12,475.23","12,640.81","12,475.23","295.94M","0.79%"
"02/20/2022","12,463.17","12,530.44","12,616.61","12,463.17","228.18M","-0.11%"
"02/17/2022","12,476.54","12,519.46","12,519.46","12,428.35","218.85M","-0.15%"
"02/16/2022","12,495.22","12,362.75","12,511.58","12,344.33","243.45M","1.17%"
"02/15/2022","12,350.64","12,187.51","12,358.17","12,160.46","191.51M","1.20%"
"02/14/2022","12,204.58","12,020.46","12,204.58","11,967.50","190.16M","1.46%"
"02/13/2022","12,029.04","12,182.54","12,184.89","11,910.47","225.16M","-1.95%"
"02/10/2022","12,268.71","12,203.52","12,268.71","12,174.29","153.95M","0.52%"
"02/09/2022","12,205.47","12,240.40","12,245.35","12,168.84","142.07M","-0.17%"
"02/08/2022","12,225.88","12,258.41","12,274.94","12,181.75","154.87M","-0.19%"
"02/07/2022","12,249.19","12,224.49","12,258.12","12,194.88","173.94M","0.37%"
"02/06/2022","12,204.45","12,179.84","12,214.97","12,109.64","147.30M","0.51%"
"02/03/2022","12,142.38","12,178.04","12,219.24","12,142.38","135.17M","-0.41%"
"02/02/2022","12,192.61","12,287.44","12,316.26","12,192.61","166.19M","-0.82%"
"02/01/2022","12,293.38","12,310.14","12,348.66","12,246.28","189.84M","0.18%"
"01/31/2022","12,271.84","12,269.92","12,359.97","12,269.92","229.53M","0.10%"
"01/30/2022","12,259.25","12,218.81","12,274.80","12,218.18","197.41M","0.66%"
"01/27/2022","12,179.32","12,156.23","12,195.82","12,147.34","162.82M","-0.03%"
"01/26/2022","12,182.51","12,119.35","12,222.39","12,093.53","134.01M","0.61%"
"01/25/2022","12,108.56","12,051.95","12,108.56","11,976.56","117.98M","0.33%"
